yearstart,yearend,locationabbr,datasource,question,datavalueunit,datavaluetype,datavalue,stratificationcategory1,stratification1,:@computed_region_skr5_azej,:@computed_region_hjsp_umg2
2021,2021,UT,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,23.6,Overall,Overall,900.0,13.0
2021,2021,VA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,7.3,Sex,Female,2758.0,40.0
2021,2021,WA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,88.13,Race/Ethnicity,"Black, non-Hispanic",2956.0,6.0
2021,2021,VA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,54.4,Age,Age 45-64,2758.0,40.0
2021,2021,VA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,37.7,Race/Ethnicity,Hispanic,2758.0,40.0
2021,2021,VA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,19.82,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",2758.0,40.0
2021,2021,TN,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,6.5,Race/Ethnicity,"Black, non-Hispanic",2159.0,39.0
2021,2021,UT,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,21.26,Race/Ethnicity,Hispanic,900.0,13.0
2021,2021,US,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,47.6,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,
2021,2021,US,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,4.96,Race/Ethnicity,"White, non-Hispanic",,
2021,2021,US,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,220.8,Sex,Female,,
2021,2021,VA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,39.3,Race/Ethnicity,"Asian, non-Hispanic",2758.0,40.0
2021,2021,VT,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,42.83,Sex,Male,3218.0,28.0
2021,2021,US,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,34.5,Overall,Overall,,
2021,2021,WA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,1.8,Age,Age 18-44,2956.0,6.0
2021,2021,VA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,3.71,Race/Ethnicity,"White, non-Hispanic",2758.0,40.0
2021,2021,US,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.4,Overall,Overall,,
2021,2021,US,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,235.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,
2021,2021,WA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,2.02,Overall,Overall,2956.0,6.0
2021,2021,UT,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,33.53,Sex,Female,900.0,13.0
2021,2021,TX,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,521.2,Age,Age >=65,3109.0,23.0
2021,2021,WA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,2.3,Sex,Female,2956.0,6.0
2021,2021,UT,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,1.96,Race/Ethnicity,"White, non-Hispanic",900.0,13.0
2021,2021,TN,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,41.8,Race/Ethnicity,"White, non-Hispanic",2159.0,39.0
2021,2021,VA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.4,Overall,Overall,2758.0,40.0
2021,2021,TN,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,96.26,Sex,Female,2159.0,39.0
2021,2021,WA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,1.85,Sex,Male,2956.0,6.0
2021,2021,VT,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,331.5,Sex,Male,3218.0,28.0
2021,2021,TX,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,81.1,Sex,Female,3109.0,23.0
2021,2021,TN,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,5.87,Overall,Overall,2159.0,39.0
2021,2021,UT,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,8.7,Age,Age >=65,900.0,13.0
2021,2021,US,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,91.8,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,
2021,2021,VA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,62.1,Race/Ethnicity,"Black, non-Hispanic",2758.0,40.0
2021,2021,WA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,135.7,Race/Ethnicity,"Multiracial, non-Hispanic",2956.0,6.0
2021,2021,UT,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,69.1,Sex,Female,900.0,13.0
2021,2021,VA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,99.1,Race/Ethnicity,"White, non-Hispanic",2758.0,40.0
2021,2021,US,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,8.6,Race/Ethnicity,"Multiracial, non-Hispanic",,
2021,2021,VA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,69.12,Sex,Male,2758.0,40.0
2021,2021,VA,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,37.5,Sex,Male,2758.0,40.0
2021,2021,WV,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,6.81,Sex,Male,2749.0,42.0
2021,2021,US,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,82.67,Sex,Male,,
2021,2021,VT,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,84.0,Age,Age 45-64,3218.0,28.0
2021,2021,US,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,72.1,Race/Ethnicity,Hispanic,,
