locationabbr,year,COPD_Prevalence_overall,COPD_Prevalence_sex_diff,COPD_Prevalence_race_diff,Smoking_Rate_overall,Smoking_Rate_sex_diff,Smoking_Rate_race_diff,Mortality_Underlying_overall,Mortality_Underlying_sex_diff,Mortality_Underlying_race_diff,Mortality_Any_Cause_overall,Mortality_Any_Cause_sex_diff,Mortality_Any_Cause_race_diff,Hospitalization_Any_Dx_overall,Hospitalization_Any_Dx_sex_diff,Hospitalization_Any_Dx_race_diff,Hospitalization_Principal_Dx_overall,Hospitalization_Principal_Dx_sex_diff,Hospitalization_Principal_Dx_race_diff,COPD_Prevalence_yoy_change,Smoking_Rate_yoy_change,Mortality_Underlying_yoy_change,Mortality_Any_Cause_yoy_change,Hospitalization_Any_Dx_yoy_change,Hospitalization_Principal_Dx_yoy_change,Smoking_vs_Prevalence_Diff,Mortality_Any_vs_Underlying_Diff
OK,2019,81.0,-5.0,-14.0,427.0,-86.0,-84.79245283018868,1.742,0.29699999999999993,-0.8930000000000002,4.158,1.2880000000000007,-1.4359999999999995,104.76,6.599999999999994,19.570000000000007,8.72,-1.0,1.3600000000000012,0.0,0.0,0.0,0.0,0.0,0.0,346.0,2.4160000000000004
OK,2020,79.0,-19.0,-20.0,411.0,-61.0,-84.79245283018868,1.6640000000000001,0.2330000000000001,-0.46599999999999997,4.55,1.3860000000000001,-0.6989999999999998,88.94,3.4299999999999926,31.64,5.29,-0.7199999999999998,2.76,-2.0,-16.0,-0.07799999999999985,0.39199999999999946,-15.820000000000007,-3.4300000000000006,332.0,2.8859999999999997
OK,2021,73.0,-17.0,-28.0,404.0,-78.0,-84.79245283018868,1.685,0.20200000000000018,-0.649,4.958,1.2080000000000002,-1.237,91.33,-0.6099999999999994,37.36,4.53,-0.71,2.8499999999999996,-6.0,-7.0,0.020999999999999908,0.40800000000000036,2.3900000000000006,-0.7599999999999998,331.0,3.273
OK,2022,75.0,-13.0,13.0,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,2.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
OR,2019,55.0,-19.0,-0.3037037037037037,396.0,-12.0,-84.79245283018868,1.055,0.17099999999999993,-0.40193805309734515,2.478,0.7320000000000002,-0.6080000000000001,80.58,2.739999999999995,40.38000000000001,5.12,-1.5099999999999998,7.890000000000001,0.0,0.0,0.0,0.0,0.0,0.0,341.0,1.4230000000000003
OR,2020,51.0,-3.0,-0.3037037037037037,378.0,-142.0,-84.79245283018868,0.946,0.16900000000000004,-0.40193805309734515,2.472,0.8360000000000003,-0.8219999999999998,66.46,0.20000000000000284,35.980000000000004,3.08,-0.6499999999999999,3.8,-4.0,-18.0,-0.10899999999999999,-0.006000000000000227,-14.120000000000005,-2.04,327.0,1.526
OR,2021,53.0,-15.0,-0.3037037037037037,313.0,14.0,-84.79245283018868,0.937,0.262,-0.40193805309734515,2.7510000000000003,1.0379999999999998,-0.4129999999999998,65.21,0.269999999999996,59.760000000000005,2.53,-0.5699999999999998,7.659999999999999,2.0,-65.0,-0.008999999999999897,0.27900000000000036,-1.25,-0.5500000000000003,260.0,1.8140000000000003
OR,2022,58.0,-5.0,-0.3037037037037037,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,5.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
PA,2019,63.0,-12.0,14.0,408.0,43.0,203.0,0.9470000000000001,0.20500000000000007,-0.15400000000000014,1.8980000000000001,0.617,-0.2719999999999998,119.72,19.890000000000015,83.37,11.3,-0.6999999999999993,11.010000000000002,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.9510000000000001
PA,2020,64.0,-18.0,-10.0,455.0,57.0,-84.79245283018868,0.899,0.20000000000000007,-0.08400000000000007,2.116,0.7369999999999999,0.007999999999999563,103.37,18.75,87.62,6.98,-0.28000000000000025,9.39,1.0,47.0,-0.04800000000000004,0.21799999999999997,-16.349999999999994,-4.32,391.0,1.217
